"id","profileName","text","date","title","rating","images","helpful"
"RTVT6XP4L2WAS","Tushar Joshi","
  I was aware of many concepts of this book through the web site of the author jamesclear.com  In fact that the place from where I came to know James first time.  The article on habits where he mentions process is important than goals was my starting point.  I continued reading his updates through the consistent newsletter he publishes through his site.Once the book was announced and available it was a no brainer for me to purchase my own copy to have all the concepts in one place and to go through the ideas in succession.This book provides supplementary material like cheat sheet and templates which are very useful for planning your own habit profile and continuous improvement.This book is action oriented.  The concepts present an action plan for trying them in your own situation and to practice the ideas directly in day to day life.  This makes the book an instruction manual for nurturing good habits and killing bad habits.  I was able to immediately relate to many new habits to start and many not so good habits I can stop and avoid using the identification pattern provided in the book.The principle presented in the book about understanding who to become, that is finding out what identity to achieve instead of just starting or stopping a habit is very helpful.One important aspect of this book is the to the point summary provided after every chapter.  Once you have read the book this summary helps recall all the concepts in short time and becomes a concise model to revise the concepts.The book is engaging and is suitable for reading cover to cover as it provides many stories and references.  As the concept of process than goals was already known to me through the Learning How to Learn MOOC at Coursera, I was glad to find the same concept mentioned in this book and was able to relate quickly with the principles.The book also becomes a workbook and reference material once you have gone through it.  The chapters are divided into sections which can be referred for particular situation in hand.I will recommend this book for anyone who is eager to understand why habits are formed and how to nurture good habits and avoid bad ones.
","Reviewed in India on 27 October 2018","Atomic Habits by James Clear is highly recommended read",5,"","677"
"R3OUNJLUPCSICY","Pravin Poojary.","
  And I absolutely mean it what I said in Headline of my comment. I have been following jamesclear.com from very long.His one article has absolutely changed my life, imagine what this book can offer to you.I have been chasing to build many habits and experimenting with them a lot but I would always find a bit difficult to stay with my changed behavior and then while browsing on internet studying more on habits formation I stumbled on James's articles and boy this guy has the answer for habit formation.If you are looking to form a new habit you have to read this Book.I have never commented online on any of the books that I have read but this one deserves a lot of appreciation.This one is for you James, in future if you ever read this comment I want to tell you that your work has hugely impacted my life. And I express my huge gratitude towards your work on Atomic Habits and the articles you post. Thank a lot for this :)
","Reviewed in India on 16 November 2018","Beware!! This Book can change your Life :)",5,"","487"
"R3MLWO0QXDI7VZ","Shubham Dwivedi","
  Before starting this book, write down some good habits you want to build and some bad habits you want to break. This book is filled with practical steps and examples. Yes, there are plenty of habit-building books out there (just as there are plenty of diet books but yet there are still more new books published every year). Plenty of people are seeking the right book that resonates with them. The key points in this book are:* Compound Effect - Very small changes over time will have a big impact.* Habit Building Techniques - Make good habits into routines; use positive reinforcements and other techniques outlined in the book.* Monitor and Measure - Keep track of your progress and improvements.
","Reviewed in India on 13 September 2019","Must read book | Measure your growth",5,"https://images-na.ssl-images-amazon.com/images/I/51RV5kC6QKL.jpg","224"
"R242DW6SQ1NB7P","Anu","
  I bought the book because it is a bestseller and had great reviews but when I was discussing it with my partner, I was asked a series of interesting questions.If there was ever an easy and proven way to change all bad old habits or add any new good habit, why the best-known minds in Psychology like Sigmund Freud and Carl Jung were addicted to smoking, along with best ever physicist Albert Einstein? And if someone has found an easy and proven way to build only good habits and break all bad habits recently then why it is not suggested by all doctors, psychologists and psychiatrists and why the inventor of such a critical thing has not given Nobel price in Physiology or Medicine as it would prevent so much premature death and suffering? How the claim of the author “guide for making good habits inevitable and bad habits impossible” can be possible when the human brain is so complicated, that still we understand only a little about it today? Also, can Albert Einstein or all other minds improve 1% every day for their whole life?I found all questions valid and the idea of the book deceptive. I soon came to know that habits are hardwired in the brain and to remove all old habits forever would mean physically removing all the corresponding neural circuits. What one can do however is to develop a new habit that can counter or control the old habit and it will take time and practice. But again, behaviors can be primed and automatically activated from the internal or external cues and it can get extremely convoluted because of endless other genetic, psychological, biological, neural, social, environmental, computational and rest of the known and unknown natural factors related to the human brain. It is wrong to say that we all can break all bad habits forever and add only good ones and it is even harder to decide what is good and what is bad.Identical twins are not exactly the same even when they have the same genes as it is the gene-environment interaction that shapes us and makes each of us unique. Many can obviously break some old bad habits and many can obviously build new good habits but not all can stop all bad habits and not all can install all good habits. And not all can decide what is good and bad. If that would be the case then the world will become perfect in an instant – we all know what is good and bad and we all do it.Also if you are already at a peak, 1% improvement every day will compound to extreme new heights in a few years which is not practical for a brain that is bounded. If you are at the bottom, you can improve 1% every day for a few days but it is not sustainable. Information processing and storage of the nervous system is limited and it just cannot improve 1% every day, for the whole life. It is just not possible. No player always plays his or her best we generally tend to oscillate around the mean. If Einstein improved 1% every day he would have invented endless other new theories. At times we can improve a lot in a few days but not always and not every day.I was suggested book cognitive fitness by my partner earlier but it is was a little bit complicated for me and now I can understand why. The human brain itself is complicated.I am not sure about habits, but the author has sure found an easy way to make money.I may post more on this as I learn more about the behaviors.
","Reviewed in India on 26 July 2021","A naive and delusional interpretation of a complex phenomenon",1,"","77"
"R32Z3F8OE257LU","Adilur Rahman","
  A most practical book on human physiology of habit building and reforming. If want to master your life then you have to master your habits first. and this book will help you to do that.
","Reviewed in India on 28 July 2019","Honest review",4,"https://images-na.ssl-images-amazon.com/images/I/71hwycBsVTL.jpg","39"
"R28JSFZ8V4IUM8","Niket","
  The pages used in the book are of so low quality that I can find better version on the roadside hawker selling pirated version. The page count doesn't match too. Binding is also not up to the mark. Highly disappointed with Amazon that they still cannot eliminate and blacklist these sellers.
","Reviewed in India on 5 April 2021","Pirated copy, Highly disappointed",1,"https://images-na.ssl-images-amazon.com/images/I/91HGW7sr1qL.jpg
https://images-na.ssl-images-amazon.com/images/I/91sxi2RYIyL.jpg
https://images-na.ssl-images-amazon.com/images/I/A194cAabNEL.jpg","20"
"RYOJ5NTHNT8CX","Rahul","
  Paper quality is terrible, Not Original book. I want a refund.
","Reviewed in India on 9 September 2019","Paper quality is terrible, Not Original book. I want a refund.",1,"","32"
"RIG0DFGWY206T","Ronak Heliwal","
  Very poor paper quality. Seems to be a pirated version of the original. Didn't buy it from Flipkart where this is available for. Rs. 250 as I thought that will be pirated. Bought this one on Amazon for Rs. 550 and this also is a pirated copy.
","Reviewed in India on 6 October 2020","Poor paper quality - Pirated Version",1,"","19"
"R2I8L3V3P23WT0","AK","
  With the Covid Issue in place and business being down by 85%. It was important for me to change my habits which pulled me down.As the business environment has changed. It’s time to innovate and pivot to better opportunities. But often habits which you have developed over the years consciously or subconsciously, often hold you back and stop you from taking the right action.Someone said: “Our Habits determine who’s we are”If we can change our habits, we can change ourselves and this book just lays out in a beautiful, engaging step by step way on how to employ good habits and discard the bad ones.This book is life changing for me. I am going to read this book again and again and again and keep improving my habits and time keeps evolving.If you have read this whole review to think whether you should buy this book, then You should not only buy this book, but also buy Post-it-Flags, Highlighter, Habit Tracking Desk Calender like Hushcoaching, and commit to change your habits and life FOREVER.
","Reviewed in India on 14 June 2020","My Life Changed!!",5,"","10"
"R355B2Q28B1SXO","Amazon Customer","
  James clear writing style the techniques in the book are so amazing and practical that you can start feeling the change in your habit from the first day. I have read the 2/3 of the book in a single go everything was so damm practical and fits on your every single habit that in the middle of reading this book you will stand up and start clapping for the author.Just one thing grab this book if you want to form habits just grab this rs 500+ was so much less prize for this book. amazing one hands down for james clear simple and indulging writing.
","Reviewed in India on 14 January 2019","Is there more Pricised better written book on habit than these one!!!!",5,"","16"
